Company Name,Overall Rating,Review Date,Review Title,Job Details,Job Title,Location,Pros,Cons
LinkedIn,4.0,2023-11-07,great culture great benefits frustrating working model,former employee more than 3 years,senior data scientist,"Sunnyvale, CA",colleagues are fantastic top talent helpful eager to learn leadership continuously steers li in direction of platform that grows the business and reaches the most peoplegood longevity impact driven culture opportunities to learn and grow lots of holidays and dto benefits and pay are competitive,project management is not standardized especially for data science highly driven by business and product stakeholders which means projects may not be conducive to career growth also can be less data driven than if projects are driven by ds culture of overachievers means worklife balance is a constant challenge
F5,3.0,2023-08-07,mediocre pay classic corporation good flexibility,former employee more than 3 years,data scientist,"Seattle, WA",company tries to be on trend with flexibility and work culture great office location,the work itself is not particularly interesting and theres a lot of bureaucracy and problems preventing project efficiency needed to harness the data that the company generates
Meta,4.0,2024-01-21,good pay rather busy and with some politics but not too toxic,current employee more than 3 years,data scientist,"Menlo Park, CA",good pay if you want to stay at a certain junior level instead of aiming for promotions then you dont need to work super hard unless you have a pushy manager good people whos nice to work with made some friends there,lots of politics im not very involved so it doesnt get to me promotion getting harder due to bad economy
Equinix,4.0,2023-07-11,great place to work with a good worklife balance and opportunities if you seek them out,current employee,data scientist,"Sunnyvale, CA",great place to work with a good worklife balance and opportunities if you seek them out,it can be slow and a little red tape exists
Cloudflare,4.0,2023-12-26,good,current employee more than 3 years,senior data scientist,"Austin, TX",remote work nice team members work matters,no 401k match volatile benefits
UST,4.0,2023-05-07,good benefits,current employee less than 1 year,data center technician,"Hillsboro, OR",good benefits of worklife balance,working hard doesnt mean you get promoted
Grab,5.0,2024-02-07,pretty good,former employee,data scientist analytics,Singapore,people are nice office is good,lack of direction often see many short term solutions for a long term problem
Deliveroo,5.0,2024-02-06,good company,former employee,senior data scientist,"London, England",fast moving environment and nice people,moving too fast some time
NCR,4.0,2023-12-12,it a good company to work for,current employee,data scientist ii,"Atlanta, GA",there are good people in the company,layoffs are frequent in the company
Criteo,5.0,2023-06-19,good company architecture,former employee,senior data scientist,Paris,working at criteo a global technology company specializing in digital advertising can offer several advantages and opportunities here are some pros of working at criteo cuttingedge technology criteo is at the forefront of digital advertising and utilizes advanced technology and algorithms to deliver personalized and effective ad campaigns working at criteo gives you the opportunity to work with stateoftheart tools and technologies impactful work criteos advertising solutions reach millions of users globally enabling businesses to connect with their target audience as an employee you can contribute to creating impactful campaigns and help shape the digital advertising landscape dynamic and collaborative environment criteo fosters a dynamic and collaborative work environment youll have the chance to collaborate with talented professionals from diverse backgrounds including data scientists engineers marketers and business experts this collaborative culture encourages innovation and learning,fastpaced and demanding environment criteo operates in a highly competitive industry and the work environment can be fastpaced and demanding deadlines and client expectations may require working under pressure and managing multiple tasks simultaneously
eBay,3.0,2024-02-14,good place to work depends on the team,current employee more than 5 years,data analystdata scientist,"San Jose, CA",good work life balance no pressure to work over the weekends to deliver,slow moving in decision making and the decision taken are mostly risk averse
Equinix,5.0,2023-05-30,benefits,current employee,data center technician,"Dallas, TX",everyday work culture is amazing,night shift can be difficult to adjust
SAS,5.0,2023-07-06,good environment if you are a proactive subject plenty of opportunity,current employee more than 5 years,senior data scientist,"Cary, NC",the tools are sas owned so you need to know the coding language or be quick into adapting plenty of improvements to be delivered in multiple functions,management i believe is not the top often key vp or director lack the technicals skills or knowledge to properly manage data teams
Avanade,4.0,2024-02-07,benefits and cons,current employee more than 1 year,data engineer,Singapore,salary and benefits package is good,outsourced to projects under accenture
Hitachi,4.0,2022-09-15,good place to work,former employee more than 1 year,scientist,"New York, NY",good place to learn and grow,growth is moderate for mid seniors
Visa Inc.,4.0,2024-02-06,great company with great benefits and wlb,current employee more than 3 years,data engineer,"Austin, TX",promotions depend on the availability of open roles and easier if senior people from the team move or quit,lower salary can be negotiated with contributions and competitive offers
eBay,4.0,2024-02-06,great benefits not much career growth,former employee more than 5 years,data analyst ii,"Bellevue, WA",office lunch hybrid schedule relaxed management,promotions happen every 23 years no matter if you have stellar reviews sadly big tech is hitting its breaking point and the layoffs are impacting tenured employees and new employees the hardest loyalty no longer exists in tech anymore
Bloomberg,5.0,2024-02-05,amazing environment amazing benefits great culture with purposeful work,current employee more than 1 year,data analyst,Singapore,1 great and understanding leadership 2 purposeful work 3 opportunities to work with clients to craft solutions 4 supports analyst who take initiatives 5 great and supportive working environment,its really a con but in this company you have to pave your own career path theres no set path paved for you
Tata Consultancy Services,5.0,2024-01-19,good,current employee,data engineer,,diverse portfolio strong brand image global presence innovation and rd,complex organizational structure market competition heavy reliance on certain sectors
Capgemini,5.0,2024-02-15,good,current employee,data analyst,"Atlanta, GA",good working there with lot of support,no cons as it is a good company
Grab,5.0,2024-01-26,good,former employee,data analyst,,pay environment colleagues workload career progression is good,room for growth office nothing much
NTT DATA,4.0,2023-12-20,good,current employee,data anaylst,"New York, NY",good pay for what you need to do,very flexible work schedule needed at random times
ByteDance,5.0,2024-01-30,good,current employee,data analyst,"San Jose, CA",nice work will recommend to friends,nothing to add at here
Sopra Steria,3.0,2024-02-06,good,former employee,data analyst,"Edinburgh, Scotland",exposure to tech side projects,not my projects in hand
Deliveroo,4.0,2023-12-07,good,current employee,data science,"London, England",good place to work nice office,i wont write cons for now
NielsenIQ,5.0,2024-01-07,good,current employee more than 1 year,data processing,Chennai,have had an excellent experience with the overall service and performance have been outstanding,i can confidently say that my experience with niq has been nothing short of exceptional the outstanding service and attention to detail have made every interaction a pleasure
SAS,5.0,2024-01-12,good,current employee,data architect,"Dallas, TX",good environment to work and boosting,none as company has good reputation
Infinite Computer Solutions,4.0,2024-03-10,good,current employee,data engineer,,quick response hr support,unexpectedly project end no support in projects finding
Informatica,5.0,2023-12-12,good,current employee more than 3 years,data science,"Texas City, TX",it is actually good and valuable,this company has lot of work load
ByteDance,4.0,2023-11-23,good food,current employee,research scientist intern,"San Jose, CA",good food decent amount of facility,some groups have bad wlb
Sabre,5.0,2024-01-09,good company good culture,current employee more than 3 years,data analyst,"Southlake, TX",good pay im fortunate enough to be on a team of competent adults that get stuff done good coworkers good culture and great worklife balance,none very happy with my role
Zebra Technologies,4.0,2023-12-26,good company with good people,current employee,data analytics,Pune,understanding people employee friendly policies,pune campus is a little small
Cognizant Technology Solutions,4.0,2024-01-24,overall good,current employee,data engineer,"Atlanta, GA",work life balance great team,career growth is slow than tech companies
Shopee,4.0,2024-02-06,good for wlb,current employee more than 1 year,data engineer,Jakarta,ticket based job reasonable timeline,not much senior in tech business oriented
Micron Technology,4.0,2024-02-01,good people,current employee more than 1 year,data analyst,Singapore,some of the nicest and smartest people,lack of transparency at times especially during retrenchment
Bloomberg,5.0,2024-01-31,good culture,former employee,data analyst,Singapore,open to diversity and inclusion,none that i can think of
Expedia Group,4.0,2024-01-23,good wlb,current employee more than 10 years,data engineer,"Seattle, WA",good wlb working on emerging technologies,too many reorganizations disparity in levels
Indeed,4.0,2024-01-17,good job,current employee more than 3 years,data entry,"Austin, TX",continent and flexible schedule all my leads have been super understanding and personable,poor benefits i dont personally see much room for growth in my current position also unfortunately my position will be automated and absolved in the near future
Amadeus,4.0,2023-12-14,good overall,current employee more than 1 year,data engineer,Nice,international and healthy environment comptent people possibility to build a career,do not expect a high salary for experienced people
Infinite Computer Solutions,1.0,2024-02-21,not a good experience,former employee less than 1 year,data engineer,,good projects and good clients,not a good company to work for very poor management they wont answer your email or call sudden layoff without giving any reason or time pay is very very less
SS&C,4.0,2024-02-22,good experience,former employee more than 1 year,data associate,"New York, NY",good benefits interact with senior management ability to learn,minimal lateral growth high turnover for less experienced members
Carousell,5.0,2022-05-27,good company,current employee more than 3 years,data engineer,,value employees opinion flexible working hours,cannot think of many so far
Orange Business,4.0,2024-03-01,good company,current employee,data engineer,Paris,big company good projets good advantages,no full remote with the company
Hexaware Technologies,3.0,2023-09-20,good to work,current employee,data engineer,"Mexico, MO",good to work will get nice on site opportunities,less increase in hike will get rarely promotion
Unisys,4.0,2024-02-19,good to start,current employee,data engineer,Vilnius,skilled and motivated colleagues tech stack is on the cutting edge,poor worklifebalance review process is unclear
Teradata,4.0,2023-09-29,good work life only get into good teams,current employee,data engineer,,good work culture good clients good working domain if interested in working with lot of data,would be separated from software development most probably
Garena,4.0,2024-01-13,have good colleagues,current employee,data engineer,,have good colleagues and environment,welfare decrease year by year
Virtusa,4.0,2023-10-27,good place to work,former employee less than 1 year,data engineer,,opportunity to work on more technologies and domains learning,enjoyed working here no cons about virtusa
Sabre,3.0,2023-01-25,good but could be better,current employee more than 8 years,data analytics,"Southlake, TX",great benefits pto 401k medical insurance etc great maternity leave holiday breaks are long work life balance mentality promotes healthy lifestyle provides social support with special events dedicated to special causes,it is subtle but you can tell there is a strong preference over men for career advancement than women they will not fire you but if they want you gone they will make your life a living hell to make sure you quit so they dont have to pay severance they will subtly destroy a whole team that has been successfully implementing projects for over 15 years just because they want to pay less in upper managements own words experience is irrelevant when we can hire people to do this for less money and just replace you annual raises and bonus are symbolic wont even cover inflation
Unity,4.0,2024-02-23,good place to work,current employee,data engineer,"Austin, TX",good team good manager good benefits good wlb,decent pay range uncertainty due to tricky business model
Oracle,5.0,2024-02-10,good,current employee,data center technician,,good pay schedule hours location,location work environment idk idk idk
Expedia Group,4.0,2023-12-23,good,current employee,data engineer ii,"Austin, TX",good company no one works super hard and good pay,lots of disoorginzation across departments
NielsenIQ,5.0,2024-01-28,good,current employee less than 1 year,data processing specialist,,a very good environment there,i dont know about it
NielsenIQ,4.0,2024-01-22,good,former employee,data processing analyst,,good culture and environment to work,growth is comparatively slow here
Moody's,5.0,2023-08-17,good,current employee more than 1 year,financial data associate,"New York, NY",work life balance interesting work,pay is average and growth limited
Teradata,3.0,2023-06-18,good pay but no opportunity for growth,former employee,data engineer,,good pay for freshers work life balance,no growth no choice of technology or own interest management is bad
Tata Consultancy Services (North America),5.0,2024-02-04,work life balance is good,former employee,data engineer,"Dallas, TX",work and life balance is good,pay is less compared to the market avg
Zühlke,4.0,2024-01-03,overall a good place to work,current employee more than 1 year,data engineer,"Belgrade, Central Serbia",great work environment with a lot of experienced engineers overall great colleagues and positive work atmosphere potential to learn quite a lot from diverse project opportunities international setup,frequent company reorganizations and overall tradeoff between project activities and other learning opportunities which is even more noticable with the overall rise in market uncertainty
Iron Mountain,4.0,2023-09-14,good boss good company,current employee more than 1 year,data io manager,"Kent, WA",positive company culture strong leadership good career growth,all work must be done onsite for most positions
Tripadvisor,4.0,2023-08-04,wasnt the old good tripadvisor anymore,former employee more than 3 years,data engineer,"Needham, MA",the company still have good legacy and inclusive culture people work with you are very nice and you dont have much pressure some working object are super cool,the new leadership team are brutal machines they brought a lot political stuff into the company and the whole atmosphere are changing topdown
Infinite Computer Solutions,4.0,2022-06-09,good management look after you,current employee more than 1 year,data engineer,"Rockville, MD",they take care of their employees for the most part being a service provider the clients always think they are right but infinite will back their employees when the client is wrong,long hours sometimes little communication
Cognizant Technology Solutions,5.0,2024-01-23,very good,current employee more than 3 years,mapping data technician,"Bothell, WA",relaxed easy flexible they provide snackstoo,no cons so far it is so good
Tech Mahindra,5.0,2023-10-16,good company,current employee more than 1 year,senior data analyst,"Indiana, PA",good company paid well and did right by the employee,a lot of work for one person
EPAM Systems,4.0,2024-01-25,good company,current employee more than 5 years,lead data engineer,"San Francisco, CA",you get assigned to great projects in leading companies great for developing skills,currently a lot of companies in the tech sector are downsizing leading to many tech pros being on the bench
XYZ,4.0,2023-09-15,good company,current employee more than 1 year,senior data engineer,"Plano, TX",have good benefits decent salary,work life balance not great
Iron Mountain,4.0,2024-02-07,good workplace,former employee less than 1 year,data entry clerk,"New York, NY",great experience working with the team and felt incluced,the work was very repetitive and my performance was based on how many words i have entered in the system
Acronis,4.0,2023-07-06,good job,former employee,data center engineer,,great team to work with,communication was a problem at some points
Expedia Group,4.0,2023-12-28,expedia is a good place to work,former employee more than 5 years,senior machine learning scientist,"Austin, TX",diversity of projects and good culture,the quality of ml works could be improved
Tata Consultancy Services (North America),5.0,2024-01-23,good place to work on grow your technical skills,current employee more than 1 year,data engineer,"Austin, TX",definitely the best place to start your career with you will get many opportunities to enhance your technical skills depends on your client project whether you enjoy the work life style salary is low but i wouldnt see that as a drawback provided the job security,communication between teammanagement is efficient
Bloomberg,4.0,2024-01-23,good stable job,current employee,global data analyst,,the job and task you do is a routine task and you will get a stable income,it will take some time for you to be in a challenging projects
Bloomberg,3.0,2024-01-12,good place to start,former employee,market data analyst,"New York, NY",a place that is mainly a stepping stone to another job,no accountability from team leaders
Hewlett Packard Enterprise | HPE,4.0,2024-02-12,good company to work for,former employee more than 10 years,data reporting analyst,"Santa Clara, CA",yearly raises and bonuses team mentality,layoffs are often unexpected and without warning
Concentrix,4.0,2024-01-31,good place to work,former employee more than 1 year,senior data analyst,"Bogotá, Bogota",flexibility working remotely allows for a flexible schedule enabling you to balance work and personal life effectively comfort you can work from the comfort of your own home eliminating the need for daily commuting global exposure as concentrix is a multinational company you get the opportunity to work with and learn from colleagues around the world access to resources concentrix provides all the necessary resources and tools for remote work ensuring you can perform your duties effectively career growth concentrix offers numerous opportunities for learning and career advancement even for remote employees,lack of direct supervision remote work can sometimes lead to feelings of isolation and a lack of direct supervision which might make it difficult to get immediate feedback or guidance limited managerial support there might be instances where you feel a lack of support from your superiors which can be challenging when youre trying to navigate complex datarelated issues
Ingram Micro,3.0,2024-02-03,good company to work for,current employee more than 5 years,data center engineer,"Illinois City, IL",diversity and inclusion is well established at ingram flexible schedule and good coworkers cumulative pto that could transfer from year to the next with a cap base on your seniority in the company,management is to improve collaboration planning
NielsenIQ,3.0,2024-02-15,good for a fresher job,former employee more than 1 year,data processing analyst,Chennai,healthy work culture very cooperative leaders and co workers,salary learning growth monotonous work
NielsenIQ,4.0,2024-01-27,good start for freshers,current employee more than 1 year,data processing analyst,Chennai,1 great company to start as a fresher 2 good pay and benefits,depends on the team youre in its company specific process and you dont get to learn anything out of the matrix less to 0 recognition and worst culture in ops
Delivery Hero,5.0,2024-01-13,good company to settle with,current employee more than 3 years,senior data engineer,Berlin,transparent knowledge sharing no workload,things are very slow many people try to create dependency by not giving necessary accesses huge pay gap between colleagues with same level many of the colleagues are indians working from india is not allowed
BlackBerry,1.0,2023-04-27,not a good company to work,former employee more than 1 year,lead data engineer,"Waterloo, ON",i dont see any pros only qnx team is okay with this management it wont last long,they are firing fulltime staff while employing school kids for around onefifth the price management of the sales and operation teams is a joke the product they are producing is of poor quality there isnt a single capable engineer in the cybersecurity division they offer a bonus but for the past two to three years they have been paying out incentives in pennies while blaming the companys poor performance please do not enter this sinking ship
Unisys,4.0,2024-01-08,good working culture,current employee more than 3 years,data enginner jr,Bengaluru,good life balance to learn new skills,need to work more than business hours
Zühlke,4.0,2022-09-13,good company to work for,current employee less than 1 year,senior data engineer,"London, England",nice people to work with good work life balance good place to learn,not enough good projects for data currently
Wolters Kluwer,5.0,2023-09-25,great company focussed management good work life balance,former employee more than 3 years,data architect,"Waltham, MA",1 extremely good work life balance 2 mature and stable it platform 3 knowledgeable leadership team,1 early morning traffic on i90 and i95 to reach office is a torture takes about 90 minutes to get into waltham from anywhere
NielsenIQ,5.0,2024-02-02,company culture is really good,former employee more than 1 year,data processing specialist,Vadodara,the culture and work environment in nielsen iq is good and provides employees with the flexibility to complete the assigned work,there are no downsides in my opinion considering the work and culture in nielsen iq
Skyscanner,3.0,2023-08-12,good wlb but lack of growth,current employee more than 1 year,senior data analyst,"Shenzhen, Guangdong",wlb is great and lots of freedom on choosing what youd like to work on managers are kind and caring,lack of career growth the business doesnt have a big potential to go to the next level the management doesnt have a clear vision
NielsenIQ,4.0,2024-01-17,a good company,current employee less than 1 year,senior data processing analyst,Chennai,friendly environment no pressure fun to work,low salary for experienced people less way for carrer development
Amazon Web Services,2.0,2024-02-05,good start if you have no it background,current employee,data center technician,,good place to start with no prior it experience,management is deaf to any propositions hr is there to get you if you show any mental health issue or have bullying cases against you manager new people get payed more then tenured techs and company refuses to negotiate on that you meet a lot of new people but aws on purpose creates a very competitive environment with a lot of back stabbing which makes the environment very toxic very quickly
Airbnb,5.0,2023-06-14,good pay and work life balance,current employee,senior data engineer,"San Francisco, CA",good pay and work life balance,nothing to be called out
NCR,4.0,2024-01-20,good to start career post college,current employee,data analyst i,"Atlanta, GA",good work life balance not too much pressure decent pay for first job out of college,moving slow very little bonus
OKX,4.0,2024-01-25,a good company to start your career,current employee more than 1 year,senior data analyst,"San Jose, CA",1 people here are very helpful and supportive 2 it is a very fastpaced company so many interesting projects 3 benefits are pretty good,1 wlb is not that good sometimes you need to have meetings with people in the asian timezone 2 sometimes your manager is too busy to catch up with you for your career development
Stripe,5.0,2023-12-20,fast growing company rewards good work,current employee more than 1 year,senior data analyst,"Portland, OR",fast growing company really good at rewarding impactful employees remote friendly very nice offices very sharp nice people,lots of changes in strategy and leadership team which often causes swirl
Dell Technologies,4.0,2024-02-11,good place to work,former employee,data centre sales executive,,great team good people good direct manager,shift to partner sales 6 monthly redundancy cycle high growth sales targets
NielsenIQ,5.0,2024-02-03,good friendly atmosphere,current employee,senior data processing specialist,Vadodara,good to work employee friendly market leader,no cons no cons no cons
NielsenIQ,4.0,2024-01-31,good working culture,current employee more than 3 years,senior data processing specialist,Petaling Jaya,flexible working environment and good culture,bad traffic and stagnant improvement
Molex,3.0,2024-02-28,good people difficult culture,current employee,master data management architect,,great people great resourcesinvestment from upper management solid pay,molex has accumulated tons of technical debt over the last couple of decades and is in a cycle of trying to do too much at once everybody is stretched thin and projects often run late and there is a scramble to fix everything at once no annual bonus or raise they do spot bonuses and raises which are really just based on the disposition of your manager it can be a good thing but more often i think it is a negative
Moody's,3.0,2023-10-06,good people bad pay,former employee,senior financial data associate,"New York, NY",work life balance great people,low pay nontransferable skills not flexible
