Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons,Overall Review,Overall Review with Title,Sentiment,Check
Capgemini,1,31/1/2024,cant say enough bad things,senior consultant,former employee more than 5 years,"Chicago, IL",easy to get hired people cant quit fast enough entire teams will quit within a few months of each other and theyll plug in anyone to take their place,now that ive been out of capgemini for years i see even more clearly how truly awful the culture is its goes beyond just unpleasantness and being toxic i wish i had spoken to an employment lawyer during my time at cap the project leads are usually narcissists who have no qualms about lying to your face and making you responsible for their mistakes even worse things happen that you cant post in a glassdoor review cap is a nightmare place to work get out as fast as you can,easy to get hired people cant quit fast enough entire teams will quit within a few months of each other and theyll plug in anyone to take their place now that ive been out of capgemini for years i see even more clearly how truly awful the culture is its goes beyond just unpleasantness and being toxic i wish i had spoken to an employment lawyer during my time at cap the project leads are usually narcissists who have no qualms about lying to your face and making you responsible for their mistakes even worse things happen that you cant post in a glassdoor review cap is a nightmare place to work get out as fast as you can,cant say enough bad things // easy to get hired people cant quit fast enough entire teams will quit within a few months of each other and theyll plug in anyone to take their place now that ive been out of capgemini for years i see even more clearly how truly awful the culture is its goes beyond just unpleasantness and being toxic i wish i had spoken to an employment lawyer during my time at cap the project leads are usually narcissists who have no qualms about lying to your face and making you responsible for their mistakes even worse things happen that you cant post in a glassdoor review cap is a nightmare place to work get out as fast as you can,Negative,
Indeed,1,4/2/2024,hire and fire,junior software engineer,current employee less than 1 year,Bengaluru,stagnant growth no hike bad management and these are pros,they hire you in bunch and then when there is no project to allocate to they fire you,stagnant growth no hike bad management and these are pros they hire you in bunch and then when there is no project to allocate to they fire you,hire and fire // stagnant growth no hike bad management and these are pros they hire you in bunch and then when there is no project to allocate to they fire you,Negative,
Oracle,1,4/2/2024,some good some bad,senior project manager,current employee,"Omaha, NE",decent benefits and i believe their strategy is sound,promotions are handled strangely you are put up against other people in different levels and roles in your organization a new system engineer i with 4 years experience is up against sys engineers of different levels managers project managers etc they also seem to really dislike microsoft and would rather use substandard homegrown tools,decent benefits and i believe their strategy is sound promotions are handled strangely you are put up against other people in different levels and roles in your organization a new system engineer i with 4 years experience is up against sys engineers of different levels managers project managers etc they also seem to really dislike microsoft and would rather use substandard homegrown tools,some good some bad // decent benefits and i believe their strategy is sound promotions are handled strangely you are put up against other people in different levels and roles in your organization a new system engineer i with 4 years experience is up against sys engineers of different levels managers project managers etc they also seem to really dislike microsoft and would rather use substandard homegrown tools,Negative,
Virtusa,1,2/5/2023,toxic workplace for women,employee,current employee more than 3 years,"New York, NY",i dont think of any,piscataway office is toxic workplace for women run by bunch of tamilians and makes vulgar comments make fun of us and talk in tamil and laugh at us one man is a pervert and chase around women with cake in his hand while women will plead him not put cake on her face and he will laugh others will watch and cheer and he wont stop he even will go through women purses women are reminded regularly to not create problems and treat them as god and hr wont do anything about it so dont be problematic i was told to learn tamil to work in virtusa,i dont think of any piscataway office is toxic workplace for women run by bunch of tamilians and makes vulgar comments make fun of us and talk in tamil and laugh at us one man is a pervert and chase around women with cake in his hand while women will plead him not put cake on her face and he will laugh others will watch and cheer and he wont stop he even will go through women purses women are reminded regularly to not create problems and treat them as god and hr wont do anything about it so dont be problematic i was told to learn tamil to work in virtusa,toxic workplace for women // i dont think of any piscataway office is toxic workplace for women run by bunch of tamilians and makes vulgar comments make fun of us and talk in tamil and laugh at us one man is a pervert and chase around women with cake in his hand while women will plead him not put cake on her face and he will laugh others will watch and cheer and he wont stop he even will go through women purses women are reminded regularly to not create problems and treat them as god and hr wont do anything about it so dont be problematic i was told to learn tamil to work in virtusa,Negative,
X,1,21/12/2023,twitter,office manager,former employee,"New York, NY",coworkers were nice and helpful and cared,new management does not understand what it takes to succeed,coworkers were nice and helpful and cared new management does not understand what it takes to succeed,twitter // coworkers were nice and helpful and cared new management does not understand what it takes to succeed,Negative,
Netflix,1,28/7/2023,toxic work culture perpetuated by terrible leaders,senior software engineer,current employee less than 1 year,"Los Gatos, CA",surrounded by incredibly talented engineers and brilliant ideas outstanding pay and benefits,in a nutshell your netflix experience boils down to your direct manager managers are almighty dictators reinforcing a pervasive culture of fear at netflix i was originally hired by a different leader with whom i had the opportunity to connect and vet but everything changed when i joined my manager was someone i hadnt had a single conversation with during the hiring process if your manager is an empathetic leader invested in your experience and growth then read no further but if your manager is anything like mine a recently promoted ic with absolutely no trainingexperience in leadership expect to be overly micromanaged expect to be humiliated and treated disrespectfully in the name of candidness over kindness in a oneonone conversation my manager snapped at me when i was about to speak i wasnt interrupting and asked me to repeat what they just said expect to not have any communication for weeks on end and receive feedback out of the blue that takes you by complete surprise expect to have the culture memo weaponized against you expect to not have any allies any attempts to move to a different team that could be a better fit will be thwarted by internal politics seeking help from hrbp is as futile as denying climate change at this point my only hope is a major reorg but i wouldnt wish this manager on anybody having worked in the industry for over a decade at different sized companies ive had all kinds of managers this is the first time i feel psychologically unsafe,surrounded by incredibly talented engineers and brilliant ideas outstanding pay and benefits in a nutshell your netflix experience boils down to your direct manager managers are almighty dictators reinforcing a pervasive culture of fear at netflix i was originally hired by a different leader with whom i had the opportunity to connect and vet but everything changed when i joined my manager was someone i hadnt had a single conversation with during the hiring process if your manager is an empathetic leader invested in your experience and growth then read no further but if your manager is anything like mine a recently promoted ic with absolutely no trainingexperience in leadership expect to be overly micromanaged expect to be humiliated and treated disrespectfully in the name of candidness over kindness in a oneonone conversation my manager snapped at me when i was about to speak i wasnt interrupting and asked me to repeat what they just said expect to not have any communication for weeks on end and receive feedback out of the blue that takes you by complete surprise expect to have the culture memo weaponized against you expect to not have any allies any attempts to move to a different team that could be a better fit will be thwarted by internal politics seeking help from hrbp is as futile as denying climate change at this point my only hope is a major reorg but i wouldnt wish this manager on anybody having worked in the industry for over a decade at different sized companies ive had all kinds of managers this is the first time i feel psychologically unsafe,toxic work culture perpetuated by terrible leaders // surrounded by incredibly talented engineers and brilliant ideas outstanding pay and benefits in a nutshell your netflix experience boils down to your direct manager managers are almighty dictators reinforcing a pervasive culture of fear at netflix i was originally hired by a different leader with whom i had the opportunity to connect and vet but everything changed when i joined my manager was someone i hadnt had a single conversation with during the hiring process if your manager is an empathetic leader invested in your experience and growth then read no further but if your manager is anything like mine a recently promoted ic with absolutely no trainingexperience in leadership expect to be overly micromanaged expect to be humiliated and treated disrespectfully in the name of candidness over kindness in a oneonone conversation my manager snapped at me when i was about to speak i wasnt interrupting and asked me to repeat what they just said expect to not have any communication for weeks on end and receive feedback out of the blue that takes you by complete surprise expect to have the culture memo weaponized against you expect to not have any allies any attempts to move to a different team that could be a better fit will be thwarted by internal politics seeking help from hrbp is as futile as denying climate change at this point my only hope is a major reorg but i wouldnt wish this manager on anybody having worked in the industry for over a decade at different sized companies ive had all kinds of managers this is the first time i feel psychologically unsafe,Negative,
Gemalto,1,21/8/2020,wasnt what i was expecting,anonymous employee,former employee more than 5 years,"Pasadena, CA",the gemalto cogent office has a variety of job opportunities to dabble in due to high turnaround intelligent colleagues but many end up leaving or seeking new opportunities,the cogent office has gone through many hands 3m gemalto thales this entails leadership changes and new visions all the time the new foreign bosses talk about how great its going to be all the profits they could make yada yada in a year or two cogent is being sold to another company rinse and repeat this office has some of the craziest office bureaucracy among senior managers that ive seen the problem with a small office are the things they can get away with they power trip in emails and say things in private to employees that are fireable offenses who can you inform when hr answers to them several teams collectively brought up the abuse with our hr and even went up the chain and nothing ever gets done theres not much invested in employees job satisfaction or job growth those who are in middle management have been there for decades and stroke the executives egos full time to keep their jobs the projects here are interesting at first but you will be grinding out the same type of work day in and out rd needs a huge overhaul for the companys future the pay here is average there is not much incentive to stay here but depending on the team you will be worked to the bone one last thing i must mention all the projects has been slowly absorbed by the corporate offices so what will remain of cogent are a few employees to maintain relationships in the america,the gemalto cogent office has a variety of job opportunities to dabble in due to high turnaround intelligent colleagues but many end up leaving or seeking new opportunities the cogent office has gone through many hands 3m gemalto thales this entails leadership changes and new visions all the time the new foreign bosses talk about how great its going to be all the profits they could make yada yada in a year or two cogent is being sold to another company rinse and repeat this office has some of the craziest office bureaucracy among senior managers that ive seen the problem with a small office are the things they can get away with they power trip in emails and say things in private to employees that are fireable offenses who can you inform when hr answers to them several teams collectively brought up the abuse with our hr and even went up the chain and nothing ever gets done theres not much invested in employees job satisfaction or job growth those who are in middle management have been there for decades and stroke the executives egos full time to keep their jobs the projects here are interesting at first but you will be grinding out the same type of work day in and out rd needs a huge overhaul for the companys future the pay here is average there is not much incentive to stay here but depending on the team you will be worked to the bone one last thing i must mention all the projects has been slowly absorbed by the corporate offices so what will remain of cogent are a few employees to maintain relationships in the america,wasnt what i was expecting // the gemalto cogent office has a variety of job opportunities to dabble in due to high turnaround intelligent colleagues but many end up leaving or seeking new opportunities the cogent office has gone through many hands 3m gemalto thales this entails leadership changes and new visions all the time the new foreign bosses talk about how great its going to be all the profits they could make yada yada in a year or two cogent is being sold to another company rinse and repeat this office has some of the craziest office bureaucracy among senior managers that ive seen the problem with a small office are the things they can get away with they power trip in emails and say things in private to employees that are fireable offenses who can you inform when hr answers to them several teams collectively brought up the abuse with our hr and even went up the chain and nothing ever gets done theres not much invested in employees job satisfaction or job growth those who are in middle management have been there for decades and stroke the executives egos full time to keep their jobs the projects here are interesting at first but you will be grinding out the same type of work day in and out rd needs a huge overhaul for the companys future the pay here is average there is not much incentive to stay here but depending on the team you will be worked to the bone one last thing i must mention all the projects has been slowly absorbed by the corporate offices so what will remain of cogent are a few employees to maintain relationships in the america,Negative,
NEC Corporation,1,30/7/2021,no work life balance,project coordinator,current employee more than 1 year,"Irving, TX",pay is within the market range of what you expect to make doing this kind of job,forced overtime amounting to 5060 hours a week director and manager treat support technicians like l1 agents with no regarding to ethics,pay is within the market range of what you expect to make doing this kind of job forced overtime amounting to 5060 hours a week director and manager treat support technicians like l1 agents with no regarding to ethics,no work life balance // pay is within the market range of what you expect to make doing this kind of job forced overtime amounting to 5060 hours a week director and manager treat support technicians like l1 agents with no regarding to ethics,Negative,
Amadeus,1,5/1/2024,work culture,senior software test engineer,former employee more than 5 years,Bengaluru,there are some good technologies you will be working on and also you will get a very good knowledge about the airline domain,work is very hectic,there are some good technologies you will be working on and also you will get a very good knowledge about the airline domain work is very hectic,work culture // there are some good technologies you will be working on and also you will get a very good knowledge about the airline domain work is very hectic,Negative,
Visa Inc.,1,29/11/2023,poor management lick it or kick it,senior software engineer,current employee more than 5 years,"Foster City, CA",nothing much after they are cutting costs on every bit of things,your performance is only reviewed on how much you lick your managers when things doesnt go well your manager will only blame you all old people working and they will never give you a chance to prove you are better for their job securities worst compensation in the tech industry,nothing much after they are cutting costs on every bit of things your performance is only reviewed on how much you lick your managers when things doesnt go well your manager will only blame you all old people working and they will never give you a chance to prove you are better for their job securities worst compensation in the tech industry,poor management lick it or kick it // nothing much after they are cutting costs on every bit of things your performance is only reviewed on how much you lick your managers when things doesnt go well your manager will only blame you all old people working and they will never give you a chance to prove you are better for their job securities worst compensation in the tech industry,Negative,
LinkedIn,1,6/2/2024,lack of mobility,sales ops,current employee more than 1 year,"San Francisco, CA",great vision still lot of opportunity for growth,no internal mobility and senior leadership doesnt seem to care consider retention bonuses or other means to keep talent the frustration is palpable the company pushes dei but everyone in sales ops leadership positions has top tier mba and nearly identical resumes the company seems to understand that exclusively hiring a particular ethnicity or gender would limit perspectives and growth and is just wrong but that same thinking doesnt apply to education and professional experience within sales ops our ceo didnt complete college but theres a false ivory tower in sales ops for mbas created by mbas wed be a better more productive team without such legacy thinking and more diverse perspectives,great vision still lot of opportunity for growth no internal mobility and senior leadership doesnt seem to care consider retention bonuses or other means to keep talent the frustration is palpable the company pushes dei but everyone in sales ops leadership positions has top tier mba and nearly identical resumes the company seems to understand that exclusively hiring a particular ethnicity or gender would limit perspectives and growth and is just wrong but that same thinking doesnt apply to education and professional experience within sales ops our ceo didnt complete college but theres a false ivory tower in sales ops for mbas created by mbas wed be a better more productive team without such legacy thinking and more diverse perspectives,lack of mobility // great vision still lot of opportunity for growth no internal mobility and senior leadership doesnt seem to care consider retention bonuses or other means to keep talent the frustration is palpable the company pushes dei but everyone in sales ops leadership positions has top tier mba and nearly identical resumes the company seems to understand that exclusively hiring a particular ethnicity or gender would limit perspectives and growth and is just wrong but that same thinking doesnt apply to education and professional experience within sales ops our ceo didnt complete college but theres a false ivory tower in sales ops for mbas created by mbas wed be a better more productive team without such legacy thinking and more diverse perspectives,Negative,
Singapore Press,1,23/1/2022,old school mindset terrible leadership peoples careers go here to die,marketing specialist,former employee,Singapore,honestly hard to find anything much to say young people those in their 20s are great to work with but we dont stay long usually 12 years and you leave,where do i start the mentality is very old school here many old timers with arrogant leadership they force their will on others and are always quick to blame many shout and yell at subordinates if you have good ideas you will not be heard or even worse the bosses will take it and claim it as their own i was in the media creative side and its very messy our stories are very boring the creative directors have a 1990s print style our videos are like channel 5 in the 90s its very cringe and everyone thinks theyre gods gift to the world you get worn down day by day young and talented people leave only those who cannot go anywhere else oldies and those who smoke their way to their senior roles remain all pretend to work or disappear at key times while picking up huge salary and bonus only join if you are about to retire the public should take umbrage at how their tax dollars used to fund these cronies is being wasted away,honestly hard to find anything much to say young people those in their 20s are great to work with but we dont stay long usually 12 years and you leave where do i start the mentality is very old school here many old timers with arrogant leadership they force their will on others and are always quick to blame many shout and yell at subordinates if you have good ideas you will not be heard or even worse the bosses will take it and claim it as their own i was in the media creative side and its very messy our stories are very boring the creative directors have a 1990s print style our videos are like channel 5 in the 90s its very cringe and everyone thinks theyre gods gift to the world you get worn down day by day young and talented people leave only those who cannot go anywhere else oldies and those who smoke their way to their senior roles remain all pretend to work or disappear at key times while picking up huge salary and bonus only join if you are about to retire the public should take umbrage at how their tax dollars used to fund these cronies is being wasted away,old school mindset terrible leadership peoples careers go here to die // honestly hard to find anything much to say young people those in their 20s are great to work with but we dont stay long usually 12 years and you leave where do i start the mentality is very old school here many old timers with arrogant leadership they force their will on others and are always quick to blame many shout and yell at subordinates if you have good ideas you will not be heard or even worse the bosses will take it and claim it as their own i was in the media creative side and its very messy our stories are very boring the creative directors have a 1990s print style our videos are like channel 5 in the 90s its very cringe and everyone thinks theyre gods gift to the world you get worn down day by day young and talented people leave only those who cannot go anywhere else oldies and those who smoke their way to their senior roles remain all pretend to work or disappear at key times while picking up huge salary and bonus only join if you are about to retire the public should take umbrage at how their tax dollars used to fund these cronies is being wasted away,Negative,
NEC Corporation,1,9/12/2021,dont,senior account manager,former employee more than 1 year,"Irving, IL",beware do not work here at all,no information or care from management,beware do not work here at all no information or care from management,dont // beware do not work here at all no information or care from management,Negative,
Grab,1,6/5/2020,low pay high workload broken promises,senior software engineer,former employee more than 1 year,"Seattle, WA",for some time we had good autonomy and shipping useful products,raises are low to zero stock price hasnt changed in 2 years managers expect you to be butt in seat 97 every day grab is run like a chinese company not an american tech company they will work you hard and tell you you are blessed to have a job leadership is not transparent so many people joined 15 years ago have all gone pushed out or so tired of management they left diversity is a joke if youre the wrong person on the wrong team watch your back mobile builds take 45 min and somehow they want you to be able to code fast,for some time we had good autonomy and shipping useful products raises are low to zero stock price hasnt changed in 2 years managers expect you to be butt in seat 97 every day grab is run like a chinese company not an american tech company they will work you hard and tell you you are blessed to have a job leadership is not transparent so many people joined 15 years ago have all gone pushed out or so tired of management they left diversity is a joke if youre the wrong person on the wrong team watch your back mobile builds take 45 min and somehow they want you to be able to code fast,low pay high workload broken promises // for some time we had good autonomy and shipping useful products raises are low to zero stock price hasnt changed in 2 years managers expect you to be butt in seat 97 every day grab is run like a chinese company not an american tech company they will work you hard and tell you you are blessed to have a job leadership is not transparent so many people joined 15 years ago have all gone pushed out or so tired of management they left diversity is a joke if youre the wrong person on the wrong team watch your back mobile builds take 45 min and somehow they want you to be able to code fast,Negative,
Dell Technologies,1,30/1/2024,hypocritical to its core,advisor,former employee more than 1 year,"Round Rock, TX",salary and worklife balance yeah you can go to a doctors appointment whenever you wanted,absolute hypocrisy from higher leadership one of my last weeks there we had an all hands on deck meeting where a senior vp was so out of touch with the sales floor saying why isnt sales making their screen savers their dreams when i was a rep back in the day i would set my screen saver to something i wanted and now im building my lake house the next week is when mass layoffs occurred and guess who wasnt touched mr lake house when first hired in was part of huge internal restructuring and then within my final weeks realized we were doing another big reorg just to place everyone back to their original jobs so thoughtless during the first wave of tech return to site speeches from other companies michael dell condemned it then when he starts forcing people back his quote on his stance was all everyone was commenting during eoy internal surveys,salary and worklife balance yeah you can go to a doctors appointment whenever you wanted absolute hypocrisy from higher leadership one of my last weeks there we had an all hands on deck meeting where a senior vp was so out of touch with the sales floor saying why isnt sales making their screen savers their dreams when i was a rep back in the day i would set my screen saver to something i wanted and now im building my lake house the next week is when mass layoffs occurred and guess who wasnt touched mr lake house when first hired in was part of huge internal restructuring and then within my final weeks realized we were doing another big reorg just to place everyone back to their original jobs so thoughtless during the first wave of tech return to site speeches from other companies michael dell condemned it then when he starts forcing people back his quote on his stance was all everyone was commenting during eoy internal surveys,hypocritical to its core // salary and worklife balance yeah you can go to a doctors appointment whenever you wanted absolute hypocrisy from higher leadership one of my last weeks there we had an all hands on deck meeting where a senior vp was so out of touch with the sales floor saying why isnt sales making their screen savers their dreams when i was a rep back in the day i would set my screen saver to something i wanted and now im building my lake house the next week is when mass layoffs occurred and guess who wasnt touched mr lake house when first hired in was part of huge internal restructuring and then within my final weeks realized we were doing another big reorg just to place everyone back to their original jobs so thoughtless during the first wave of tech return to site speeches from other companies michael dell condemned it then when he starts forcing people back his quote on his stance was all everyone was commenting during eoy internal surveys,Negative,
Avanade,1,12/2/2024,avoid it if you work in security,anonymous employee,current employee more than 5 years,"Munich, Bavaria",free vouchers for all microsoft certifications,this message is written in english due to our international presence while some of the points raised are specific to avanade asg austria switzerland germany others are global concerns which i will clearly identify tldr multiple employees are expressing dissatisfaction with recent changes limited learning opportunities and an overwhelming emphasis on chargeability specific concerns limited interaction and knowledge sharing while avanade positions itself as a global company collaboration between avanade asg and other offices seems restricted additionally internal knowledge sharing lacks structure hindering learning and growth compared to established consulting firms like bcg or mckinsey management background and focus the avanade asg leadership largely composed of exaccenture and microsoft personnel might lack direct customer acquisition experience this potentially limits client engagement and results in repetitive success stories without active presales efforts global reorganization and its impact recent changes imposing chargeability on all employees are allegedly dampening morale additionally concerns exist about the lack of focus on developing the sales pipeline leadership continuity and employee morale some new leaders reportedly involved in previous cultural breakdowns at accenture might be contributing to similar concerns at avanade many recent hires have expressed surprise and disappointment with the current company culture particularly regarding the recent endofyear review process and lack of bonuses overall there appears to be a need for addressing employee concerns regarding company direction learning opportunities and leadership effectiveness,free vouchers for all microsoft certifications this message is written in english due to our international presence while some of the points raised are specific to avanade asg austria switzerland germany others are global concerns which i will clearly identify tldr multiple employees are expressing dissatisfaction with recent changes limited learning opportunities and an overwhelming emphasis on chargeability specific concerns limited interaction and knowledge sharing while avanade positions itself as a global company collaboration between avanade asg and other offices seems restricted additionally internal knowledge sharing lacks structure hindering learning and growth compared to established consulting firms like bcg or mckinsey management background and focus the avanade asg leadership largely composed of exaccenture and microsoft personnel might lack direct customer acquisition experience this potentially limits client engagement and results in repetitive success stories without active presales efforts global reorganization and its impact recent changes imposing chargeability on all employees are allegedly dampening morale additionally concerns exist about the lack of focus on developing the sales pipeline leadership continuity and employee morale some new leaders reportedly involved in previous cultural breakdowns at accenture might be contributing to similar concerns at avanade many recent hires have expressed surprise and disappointment with the current company culture particularly regarding the recent endofyear review process and lack of bonuses overall there appears to be a need for addressing employee concerns regarding company direction learning opportunities and leadership effectiveness,avoid it if you work in security // free vouchers for all microsoft certifications this message is written in english due to our international presence while some of the points raised are specific to avanade asg austria switzerland germany others are global concerns which i will clearly identify tldr multiple employees are expressing dissatisfaction with recent changes limited learning opportunities and an overwhelming emphasis on chargeability specific concerns limited interaction and knowledge sharing while avanade positions itself as a global company collaboration between avanade asg and other offices seems restricted additionally internal knowledge sharing lacks structure hindering learning and growth compared to established consulting firms like bcg or mckinsey management background and focus the avanade asg leadership largely composed of exaccenture and microsoft personnel might lack direct customer acquisition experience this potentially limits client engagement and results in repetitive success stories without active presales efforts global reorganization and its impact recent changes imposing chargeability on all employees are allegedly dampening morale additionally concerns exist about the lack of focus on developing the sales pipeline leadership continuity and employee morale some new leaders reportedly involved in previous cultural breakdowns at accenture might be contributing to similar concerns at avanade many recent hires have expressed surprise and disappointment with the current company culture particularly regarding the recent endofyear review process and lack of bonuses overall there appears to be a need for addressing employee concerns regarding company direction learning opportunities and leadership effectiveness,Negative,
