text,aspect,sentiment,confidence,probs,ref_sentiment,ref_check,perplexity,global_sentiment
"""The company had good Medical and Retirement benefits. The compensation was ok for a fresh college graduate during the pandemic. The really long work hours (12 hour shift X 4 days) standing and walking around. During peak season (2 times a year), you are expected to work 5 days a week without extra compensation because the Area Manager position is a salaried position. For the Area Manager role, you are expected to micromanage the Associates all the time. While you are micromanaging the Associates, you are also expected to complete the routine administrative tasks and work on spacial projects. The administrative tasks is what you have to do and the special projects is what's going to get your promoted. All these tasks were expected from you without any support from management in both mentoring and resource.  This role have a huge toll on your body (even worst if you have night shift). Take this role if you need to put food on the table immediately but you keep looking and leave once a better opportunity comes along.""",['Global Sentiment'],['Neutral'],[0.6447101831436157],"[array([0.08229987, 0.6447102 , 0.27298996], dtype=float32)]",['-100'],[''],1.0473195314407349,Neutral
"""* The systems in place at Amazon allows lots of vertical and horizontal movement, as well as international opportunities for learning, training, and relocation. * Up to $5,000~ for tuition payment at approved schools, no questions asked. Your tuition payment is not contingent on a performance review or a manager liking you--make it to six months and you get it. They'll pay extra for specific programs at your local site, like getting your CDL. * Good benefits. * Extremely flexible time-off system. You don't need to call a supervisor nor are there restrictions. If you have the time-off, you can be late 10 minutes every single day if you want and it's not held against you. *Pay is good for untrained warehouse. *Your ability to take advantage of all the benefits Amazon offers hinges on your leadership. Bad managers often don't push paperwork through or outright ignore you. *Site culture is toxic--associates and leadership will engage in inappropriate relationships or  *Work standards are high and strict. This is not a casual job, and even those who prefer a fast-paced environment may find it overwhelming. *The time-off is limited. This is state dependent, but for Indiana you accrue 48 hours of paid time off that can be used whenever for the entire year. You'll accrue vacation time, which must be approved (and will not be approved during peak operating season), at a much slower rate. Unpaid time off can be accrued",['Global Sentiment'],['Positive'],[0.9589299559593201],"[array([0.01990977, 0.02116032, 0.95892996], dtype=float32)]",['-100'],[''],1.047500729560852,Positive
"""The benefits are amazing and cheap. The pay is great. They allow you to work up to 60 hours if you want. They offer many career advancements if you like as long as you work hard. Hard work pays off at Amazon because they recognize it and gives you opportunities for advancement. They will let you in quality assurance to count or problem solve if you are dependable. Lots of cross training during peak so you can work in different departments. If you like people, you will like Amazon. You meet new people everyday. The workload is bad sometimes like when they make you spider or work at the inbound dock. Certain co workers like the stowers will make your life difficult if they only care about their stow rate, ex. filling up the corrugate quickly and laughing at you while you try to get them more pallets for work while emptying the corrugate. A bit of favoritism in certain areas.""",['Global Sentiment'],['Positive'],[0.8375938534736633],"[array([0.00444405, 0.1579621 , 0.83759385], dtype=float32)]",['-100'],[''],1.0475184917449951,Positive
"""The pay is good and unlike other locations, they don't work you to the bone. The warehouse is temperature-controlled so it's never too bad unless you are right next to the overhead doors. There's plenty of parking in the lot. They provide work shoes and there's a cafe for hot meals and packaged food that's not too expensive. Most managers are nice. The parking levels are always super full and people either drive like maniacs or geriatrics so I use the parking lot instead. It takes a long time to actually get to the time clocks so it's best to show up a few minutes early everyday because otherwise you'll be late and they'll take 15 minutes of UTO. Also, the employees are trying to create a union and management is hot and bothered by that so they'll do whatever their overlords tell them to because they're scared they'll get fired or they're honestly unaware of what unions have done in the past and refuse to learn anything and admit they're wrong and are now the bad guys.""",['Global Sentiment'],['Positive'],[0.8606932163238525],"[array([0.01442374, 0.12488301, 0.8606932 ], dtype=float32)]",['-100'],[''],1.0477354526519775,Positive
-Decent pay -Good managers at my DSP -Great views when driving -See Good doggos almost every day -Sometimes get drinks and snacks from DSP/customers -Don't have to talk to anyone unless needed to -Can get stuck out in the weather -Have to deliver regardless of weather -Amazon does not like to make sure vans are fixed -No sick time -No vacation time -No holiday pay -No grievance pay -PTO accrual is abysmal at 1hr/40hrs worked,['Global Sentiment'],['Positive'],[0.7556971311569214],"[array([0.00416658, 0.24013625, 0.75569713], dtype=float32)]",['-100'],[''],1.0477311611175537,Positive
"""Intelligent co-workers. Pay and benefits are average. Lots of busy work is assigned that does not contribute to your performance evaluation. Work life balance is terrible and last minute deadlines are super common. The only way to get ahead is to work on solo projects outside of normal work hours because the daily responsibilities take up your whole work day. I was pressured into taking over a program which was quite different from the role I was hired for, then I was given negative performance review after 3 months of taking this over. I only got positive performance remarks prior to that, and was told my skip level boss I had never interacted with bumped me down in my review. There was virtually no support offered to help bridge my knowledge gap. I was gaslighted when I asked to return to the role I was hired for, saying I agreed to take on this role permanently, when the original agreement was they would hire someone specifically with matching experience. This is common at Amazon from what I hear. Management only cares about their own promo and will throw anyone under the bus as needed, don’t be fooled.""",['Global Sentiment'],['Negative'],[0.49582141637802124],"[array([0.49582142, 0.43484786, 0.06933071], dtype=float32)]",['-100'],[''],1.0477814674377441,Negative
"""Great benefits, flexible time off options, friendly people, free shoes yearly. Can be as social as you want as long as you get your work done. Easy to be asocial as well if you're more introverted. Take advantage of your benefits; go to school with Career Choice, get braces/invisalign or dental work done if you need it, insurance is top tier for an entry level grunt type of job so if you need medical procedures get them done while working here. Coming from retail, I love not having to deal with customers. Hard on the body and mind. Prepare to come home emotionally tired and physically sore until you get used to working here. Peak (Nov-Dec) will have you working 50-55 hour weeks every week. Expect to see favoritism and cliques that get special treatments and hook ups.""",['Global Sentiment'],['Positive'],[0.9197530746459961],"[array([0.00236675, 0.07788012, 0.9197531 ], dtype=float32)]",['-100'],[''],1.0474368333816528,Positive
#NAME? #NAME?,['Global Sentiment'],['Neutral'],[0.973839282989502],"[array([0.00577312, 0.9738393 , 0.02038761], dtype=float32)]",['-100'],[''],1.0476051568984985,Neutral
"""Usually has a good company culture, really depends on the building you work at and your team. My building recently went through a change and they ended up cleaning house on most of our bosses, L6+.  Amazon can be a very cut throat work environment, best advice I can give is to just keep your head down, do your work, and engage your team. Need to make sure your team respects you/ likes working for you. Without the respect of your team, you will never make it. Too many cons to share.  There are political games that are played at all levels. Like I said earlier, keep your head down, do your work, and earn the respect of your team. 2x times as hard to build a bridge that has already been burned.""",['Global Sentiment'],['Positive'],[0.5499147772789001],"[array([0.00355755, 0.4465277 , 0.5499148 ], dtype=float32)]",['-100'],[''],1.0476820468902588,Positive
"""I worked at Amazon for almost 8 years and one thing about my experience is that no two days were the same. I loved the challenge of problem solving with the Fay 1 mentality and model. The pay is great and PTO and benefits are top tier. Amazon has a ton of resources and vendor relationships so it was great to take advantage of certain perks like free movie screenings and discounted car rentals. One of the best parts of working at Amazon is the ability to rotate to different teams- which helps avoid cultural adaptations when transferring companies. Most people who work at the Company are self driven and easy to work with. Although the pay is extremely good you definitely pay for it with your time. My first two years I was consistently pulling 12-14 hour days on average. Which leads me to my next con- the amount of accounting work that had to be completed manually was unbelievable. Even worse, the businesses were not properly supporting backend functions with reliable systems to track all transactions. This led to way more work for the accountants in assessing completeness and accuracy and more “tech debt” we were being tasked to resolve. Lastly, although benefits are pretty good at Amazon there’s a significant flaw in the sabbatical policy which discourages some of the most tenured employees from taking much needed breaks.""",['Global Sentiment'],['Positive'],[0.9918860197067261],"[array([0.00330763, 0.0048064 , 0.991886  ], dtype=float32)]",['-100'],[''],1.0475507974624634,Positive
"""Short term/long term disability available People in charge of programming accommodations into computer systems do not complete the programming in a timely, or even proper, fashion. Employees are pushed to go against physical restrictions due to poor work performance of those responsible for inputting physical restrictions into computer software for work stations. Poor internal communications. Tasks are not properly completed by appropriate people, resulting in delays. Employees with accommodations can be sent home due to the fault of person responsible for programming software to recognize and execute accommodation orders, not doing so, which results in loss of pay to the employee.""",['Global Sentiment'],['Neutral'],[0.6275193095207214],"[array([0.3707457 , 0.6275193 , 0.00173498], dtype=float32)]",['-100'],[''],1.0476092100143433,Neutral
"""Good benefits (vto, 401k, healthcare) and pay Great experience for operations management 3 days off per week Work can be long and draining Sleep and eating schedule is air tight""",['Global Sentiment'],['Neutral'],[0.8574578762054443],"[array([0.00584932, 0.8574579 , 0.13669287], dtype=float32)]",['-100'],[''],1.0476419925689697,Neutral
Weekly check and you can get most of all of your check every day if you’re hurting for money. very affordable medical benefits for family including dental and vision and health. Good amount of leave and vacation. 10 hr shifts so you only work 4 days. Overtime is available sometimes and is 10 hrs so you get good pay those days. Pay increases are good every 6 months until 2 year. Education benefits of $5250/year. Stowing is very boring a lot of accuracy and rate parameters you have to meet or you will get a write up. Some managers are very disconnected and treat you like a number instead of a person with a whole life outside of work.,['Global Sentiment'],['Neutral'],[0.5893219709396362],"[array([0.00316664, 0.589322  , 0.4075114 ], dtype=float32)]",['-100'],[''],1.0476109981536865,Neutral
"""It's a hand-on on-your-feet-all-day kind of job. You have to be on your game and willing to learn all aspects of the warehouse. If you have a sense of urgency, desire to learn, and are happy to clock in more than 10k-15k steps a day, you'll do fine here. The flex drivers program is a bust. Everyday is a challenge with the drivers and the company doesn't give you any support. Amazon warehouses also like to hire from the corporate office and they often get placed ahead of people who have years of experience and are completely lost when it comes to production. The same people will tell you how to do your job but never used a pallet jack in their life.""",['Global Sentiment'],['Positive'],[0.5558823943138123],"[array([0.01603177, 0.42808586, 0.5558824 ], dtype=float32)]",['-100'],[''],1.0473729372024536,Positive
"""Co-workers are nice, very diverse, no strict clock in clock out schedule, they are supportive of moms, great maternity leave and health insurance, provided a good computer and monitor for working at home, travel isn't required. -RTO plan is going to force lots of good people to quit that were hired as remote employees now Amazon is not honoring that and saying move to an office or quit (no office near me).  -The lay-offs over the last year have everyone in recruitment walking on egg shells that there will be more lay offs, do not feel like we have job security - Pay starting out was good, but once your bonus drops off and they dont increase your base, and stock price is very low, you are not making what was promised/explained to you when you took the job. - getting promoted up a level is the only way to get a significant pay bump and it is way harder to get promoted up a level then they make it seem like in the beginning so while you are paid well, you wont see large advancements in salary unless promoted""",['Global Sentiment'],['Positive'],[0.8956082463264465],"[array([0.03506561, 0.06932609, 0.89560825], dtype=float32)]",['-100'],[''],1.047473669052124,Positive
"""- One unpaid break, one paid break. Both a half hour - Health & Wellness station with certified nurses - Has an exercise area if your muscles are cramped or something hurts; just gotta let your manager know - Mindfulness room, if you need some time for your mental health - Very accommodating - Training is easy and quick - Prayer room - Most managers know what they're doing - There are opportunities to switch to different jobs if the one you currently have doesn't fit with you (Learning Ambassador, Manager, HR, Security, Loss Prevention, Pack, Pick, Stow, Docks, and of course Delivery are the ones I know of, and I'm 100% certain there are more) - You can talk to HR directly if you have an issue! You don't even have to wait 20+ minutes on the phone: there are stations right there in the warehouse where you can talk to a representative! - 4 10-hour days, so you get an extra day off - Starting pay is $17.25, which is an increase from when I last worked there, and I'm seasonal - On the flip side, 4 10-hour days is long and exhausting - Blue Cross Blue Shield insurance is not the greatest, though Amazon offers a tax-favorable Health Savings Account (90 days for Seasonal, 30 or 60 days for full-time, but none for Reduced- (30 hours/week required) or Part-Time (4-6/week required, I don't",['Global Sentiment'],['Positive'],[0.9596226811408997],"[array([0.01206615, 0.02831122, 0.9596227 ], dtype=float32)]",['-100'],[''],1.0478646755218506,Positive
"""- Truly a great place to figure out every facet of HR and get experience in all different types of environment. - 4 Day Work Weeks are wonderful. - Very rewarding work when able to do things the way you feel is correct. - Self-guided growth opportunities and ability to do as much work as you're wanting to do. - Inconsistencies based off of regional guidance which varies. - Favoritism is rampant for growth in the sense that you can grow extremely quickly under a favored leader but be stunted from another. Your entire performance is based off of 2 annual performance reviews and are FILLED with recency bias. A self-written performance review can be inflated and spoken about as if it were gold. - Internal pay raises are a joke. Externals get brought on anywhere from $5k - $15k more.  - PXT (HR) is held to much higher standards and promotions are a lengthy process whereas operators paid more, promoted easier, and given a lot more incentives. - HR has little growth patterns after layoffs.""",['Global Sentiment'],['Positive'],[0.9574311971664429],"[array([0.00568222, 0.03688668, 0.9574312 ], dtype=float32)]",['-100'],[''],1.0475355386734009,Positive
"""I never stop learning about Amazon offerings, features, processes, teams, initiatives, etc. and that is very stimulating to me. Also the encouragement to constantly innovate, improve, and grow is awesome for the people who enjoy it. Also I love the encouragement to shift positions every couple of years. Minimal paid holidays, a decent amount of red tape, and senior leadership often telling you what to do without any having any idea of how your programs work.""",['Global Sentiment'],['Positive'],[0.665862500667572],"[array([0.00245417, 0.33168325, 0.6658625 ], dtype=float32)]",['-100'],[''],1.04763662815094,Positive
"""People who have recently graduated get the best deal. From the sign on bonuses, RSU's, health benefits, time off options, schedule flexibility, and relocation benefits it is worth it. If you are an internal promotion, you will likely be severely underpaid compared to the college hires. Despite what most people say, they treat their employees very well I have never worked for a company that offers as many resources as Amazon does. Overall, I had a great experience working here. Internal promotions in all departments aren't given the best compensation packages. If you want to move up within the safety department you will likely have to move to another city or state.""",['Global Sentiment'],['Positive'],[0.6658384203910828],"[array([0.01823074, 0.3159308 , 0.6658384 ], dtype=float32)]",['-100'],[''],1.047667145729065,Positive
"""they hire anyone. Its a paycheck. Don't get covid if you don't have any PTO, they will fire you with or without a doctor note. Last year I worked 2 days at Amazon, got covid working there. Never was explained what i needed to do until I was already testing negative. They fired me. Went back a year later. Got injured on the job. Right before their doctor did my MRI, they denied my workmans comp claim and i couldnt get the MRI, my knee is still messed up till this day. Then a month later, I got Covid again from working at amazon. Made sure to get a doctor note...which i paid $60 to get seen to even get the note. submitted the doctor note on the ABC app, and they still fired me for missing work.  HR lept giving me the run around about it, i even called the # they told me to call if i felt there was an error, and never got called back.""",['Global Sentiment'],['Negative'],[0.5460481643676758],"[array([0.54604816, 0.45057908, 0.00337276], dtype=float32)]",['-100'],[''],1.0477821826934814,Negative
there's None what so ever Everything! This place is a CANCER and not worth the STRESS!,['Global Sentiment'],['Negative'],[0.9706711173057556],"[array([0.9706711 , 0.02367432, 0.00565453], dtype=float32)]",['-100'],[''],1.0477001667022705,Negative
"""For the most part you have free reign to think outside of the box when you do your projects and investigations. Depending on site Problem that I had was trying to figure out how use tools and complete complex projects. I was expected to figure out how to complete things myself and my manager would send links to read instead of taking the time and show me how things worked. Then you got pay. I noticed L3 process assistants making more than the L4 LP specialists but do less work. Other thing is promotions. Ops and the other support roles don't have to POD (4 or 5 interviews back to back) for the L4 to L5 promotions. You can be """"Top"""" Tier, have all this experience, and the results, but if one interviewer didn't like your interview, try again in later in 6 months.""",['Global Sentiment'],['Neutral'],[0.839123547077179],"[array([0.04680257, 0.83912355, 0.11407388], dtype=float32)]",['-100'],[''],1.0475826263427734,Neutral
"""In terms of growth, there's no company I've worked for that's offered the level of opportunity and daily responsibility. You're going to need to learn fast but will work with a lot of smart people that will help you improve your skills Like any company, there are limited resources and it's an uphill battle to make change. You have to work within the realm of the """"status quo"""" which can be frustrating because they're very data driven but it's a pain to actually use the tools and figure out what may the root cause""",['Global Sentiment'],['Neutral'],[0.8591189384460449],"[array([0.00431857, 0.85911894, 0.13656251], dtype=float32)]",['-100'],[''],1.0477405786514282,Neutral
Great experience and opportunity. Benefits are on point with job responsibilities. Career growth is exponential if you’re in a corporate location. The urgency of speed at which Amazon operates to move quickly can negatively impact the employees by making them feel like another number instead of a valued team member and human being.,['Global Sentiment'],['Positive'],[0.9784166812896729],"[array([0.00469598, 0.0168873 , 0.9784167 ], dtype=float32)]",['-100'],[''],1.0476322174072266,Positive
